title,date,url,media_type,explanation
Find the New Moon,2022-07-25,https://apod.nasa.gov/apod/image/2207/FindTheMoon_soltanolkotabi_1080.jpg,image,"Can you find the Moon? This usually simple task can be quite difficult.  Even though the Moon is above your horizon half of the time, its phase can be anything from crescent to full. The featured image was taken in late May from Sant Martí d'Empúries, Spain, over the Mediterranean Sea in the early morning. One reason you can't find this moon is because it is very near to its new phase, when very little of the half illuminated by the Sun is visible to the Earth. Another reason is because this moon is near the horizon and so seen through a long path of Earth's atmosphere -- a path which dims the already faint crescent. Any crescent moon is only visible near the direction the Sun, and so only locatable near sunrise or sunset. The Moon runs through all of its phases in a month (moon-th), and this month the thinnest sliver of a crescent -- a new moon -- will occur in three days."
The Delta Clipper,1995-10-28,https://apod.nasa.gov/apod/image/dc-xa.gif,image,
Milky Way over Maunakea,2025-05-20,https://apod.nasa.gov/apod/image/2505/MaunaKeaNight_Rogozinska_960.jpg,image,"Have you ever seen the band of our Milky Way Galaxy?  In a clear sky from a dark location at the right time, a faint band of light becomes visible across the sky.  Soon after your eyes become dark adapted, you might spot the band for the first time.  It may then become obvious.  Then spectacular.  One reason for your growing astonishment might be the realization that this fuzzy swath, the Milky Way, contains billions of stars.  Visible in the featured image, high above in the night sky, the band of the Milky Way Galaxy arcs.  Also visible are the colorful clouds of Rho Ophiuchi on the right, and the red and circular Zeta Ophiuchi nebula near the top center. Taken in late February from Maunakea, Hawaii, USA, the foreground telescope is the University of Hawaii's 2.2-Meter Telescope. Fortunately, you don’t need to be near the top of a Hawaiian volcano to see the Milky Way.    Put it All Together: Astronomy Puzzle of the Day"
Orion's Horsehead Nebula,1997-10-25,https://apod.nasa.gov/apod/image/horsehead2_dm_big.jpg,image,"The Horsehead Nebula is one of the most famous nebulae on the sky. It is visible as the black indentation to the red emission nebula seen just to the right of center of the above photograph. The bright star near the center is located in the belt of the familiar constellation of Orion. The horse-head feature is dark because it is really an opaque dust cloud which lies in front of the bright red emission nebula. Like clouds in Earth's atmosphere, this cosmic cloud has assumed a recognizable shape by chance. After many thousands of years, the internal motions of the cloud will alter its appearance. The emission nebula's red color is caused by electrons recombining with protons to form hydrogen atoms. Also visible in the picture are blue reflection nebulae, which preferentially reflect the blue light from nearby stars."
The Snows of Churyumov-Gerasimenko,2024-01-06,https://www.youtube.com/embed/PpyPgJHKxSw?rel=0,video,"You couldn't really be caught in this blizzard while standing by a cliff on periodic comet 67P/Churyumov-Gerasimenko. Orbiting the comet in June of 2016, the Rosetta spacecraft's narrow angle camera did record streaks of dust and ice particles similar to snow as they drifted across the field of view close to the camera and above the comet's surface. Still, some of the bright specks in the scene are likely due to a rain of energetic charged particles or cosmic rays hitting the camera, and the dense background of stars in the direction of the constellation of the Big Dog (Canis Major). In the video, the background stars are easy to spot trailing from top to bottom. The stunning movie was constructed from 33 consecutive images taken over 25 minutes while Rosetta cruised some 13 kilometers from the comet's nucleus. In September 2016, the nucleus became the final resting place for the Rosetta spacecraft after its mission was ended with a successful controlled impact on 67P/Churyumov-Gerasimenko."
Seven Dusty Sisters in Infrared,2023-02-19,https://apod.nasa.gov/apod/image/2302/Pleiades_WiseAntonucci_960.jpg,image,"Is this really the famous Pleiades star cluster? Known for its iconic blue stars, the Pleiades is shown here in infrared light where the surrounding dust outshines the stars. Here three infrared colors have been mapped into visual colors (R=24, G=12, B=4.6 microns). The base images were taken by NASA's orbiting Wide Field Infrared Survey Explorer (WISE) spacecraft. Cataloged as M45 and nicknamed the Seven Sisters, the Pleiades star cluster is by chance situated in a passing dust cloud. The light and winds from the massive Pleiades stars preferentially repel smaller dust particles, causing the dust to become stratified into filaments, as seen. The featured image spans about 20 light years at the distance of the Pleiades, which lies about 450 light years distant toward the constellation of the Bull (Taurus)."
The Southern Cross in a Southern Sky,2015-10-19,https://apod.nasa.gov/apod/image/1510/SouthernCrossSky_Fairbairn_960.jpg,image,"Have you ever seen the Southern Cross? This famous constellation is best seen from Earth's Southern Hemisphere. Captured from Rio de Janeiro, Brazil, the four bright stars that mark the Southern Cross are visible just above the horizon in the featured image. On the left of this constellation, also known as The Crux, is the orange star Gamma Crucis.  The band of stars, dust, and gas rising through the middle of the image mosaic is part our Milky Way Galaxy.  Just to the right of the Southern Cross is the dark Coal Sack Nebula, and the bright nebula at the top of the image is the Carina Nebula.  The Southern Cross is such a famous constellation that it is depicted on the national flags of Australia and New Zealand.   Follow APOD on: Facebook,  Google Plus, or Twitter"
Herschel's Andromeda,2013-02-02,https://apod.nasa.gov/apod/image/1302/PIA16682HerschelAnd900.jpg,image,"This infrared view from the Herschel Space Observatory explores the Andromeda Galaxy, the closest large spiral galaxy to our own Milky Way. Only 2.5 million light-years distant, the famous island universe is also known to astronomers as M31. Andromeda spans over 200,000 light-years making it more than twice the size of the Milky Way. Shown in false color, the image data reveal the cool dust lanes and clouds that still shine in the infrared but are otherwise dark and opaque at visual wavelengths. Red hues near the galaxy's outskirts represent the glow of dust heated by starlight to a few tens of degrees above absolute zero. Blue colors correspond to hotter dust warmed by stars in the more crowded central core. Also a tracer of molecular gas, the dust highlights Andromeda's prodigious reservoir of raw material for future star formation."
Galaxies Of The Virgo Cluster,2001-01-26,https://apod.nasa.gov/apod/image/0101/virgoclust_bendaniel_c1.jpg,image,"Well over a thousand galaxies are known members of the Virgo Cluster, the closest large cluster of galaxies to our own local group. The galaxy cluster is difficult to see all at once because it covers such a large area on the sky. Still, this excellent telescopic view records the region of the Virgo Cluster around its dominant giant elliptical galaxy M87. M87 can be seen as a fuzzy patch near the picture's bottom center. In fact, a close examination of the image will reveal that many of the ""stars"" are actually surrounded by a telltale fuzz, indicating that they are Virgo Cluster galaxies. How many galaxies can you pick out? Click on the image for an uncropped, labeled version which includes the NGC catalog numbers for most of the visible galaxies. On average, Virgo Cluster galaxies are measured to be about 48 million light-years away. The Virgo Cluster distance has been used to give an important determination of the Hubble Constant and the scale of the Universe."
Comet Lemmon and the Deep Sky,2013-07-20,https://apod.nasa.gov/apod/image/1307/CometLemmon2013july13martin950.jpg,image,"Now sweeping high above the ecliptic plane, Comet Lemmon has faded dramatically in planet Earth's night sky as it heads for the outer solar system. Some 16 light-minutes (2 AU) from the Sun, it still sports a greenish coma though, posing on the right in this 4 degree wide telescopic view from last Saturday with deep sky star clusters and nebulae in Cassiopeia. In fact, the rich background skyscape is typical within the boundaries of the boastful northern constellation that lie along the crowded starfields of the Milky Way. Included near center is open star cluster M52 about 5,000 light-years away. Around 11,000 light-years distant, the red glowing nebula NGC 7635 below and left of M52 is well-known for its appearance in close-up images as the Bubble Nebula. But the fading Comet Lemmon is not the only foreground object on the scene. A faint streak on the right is an orbiting satellite caught crossing through the field during the long exposure, glinting in the sunlight and winking out as it passes into Earth's shadow.  Interplanetary News: Photo Op from Cassini and MESSENGER - just be sure to smile and wave."
NGC 1365: Majestic Island Universe,2007-03-28,https://apod.nasa.gov/apod/image/0703/NGC1365_master650.jpg,image,"Barred spiral galaxy NGC 1365 is truly a majestic island universe some 200,000 light-years across. Located a mere 60 million light-years away toward the chemical constellation Fornax, NGC 1365 is a dominant member of the well-studied Fornax galaxy cluster. This impressively sharp color image shows intense star forming regions at the ends of the bar and along the spiral arms, as well as details of dust lanes cutting across the galaxy's bright core. At the core lies a supermassive black hole. Astronomers think NGC 1365's prominent bar plays a crucial role in the galaxy's evolution, drawing gas and dust into a star-forming maelstrom and ultimately feeding material into the central black hole."
NGC 7380: The Wizard Nebula,2011-11-02,https://apod.nasa.gov/apod/image/1111/ngc7380_geissenger_900.jpg,image,"What powers are being wielded in the Wizard Nebula? Gravitation strong enough to form stars, and stellar winds and radiations powerful enough to create and dissolve towers of gas. Located only 8,000 light years away, the Wizard nebula, pictured above, surrounds developing open star cluster NGC 7380. Visually, the interplay of stars, gas, and dust has created a shape that appears to some like a fictional medieval sorcerer.   The active star forming region spans 100 about light years, making it appear larger than the angular extent of the Moon. The Wizard Nebula can be located with a small telescope toward the constellation of the King of Aethiopia (Cepheus). Although the nebula may last only a few million years, some of the stars being formed may outlive our Sun.   Imagine: What shape(s) do you see in the nebula?"
"Jupiter: Moon, Ring, and Clouds",1997-11-21,https://apod.nasa.gov/apod/image/9711/jupir_nic.jpg,image,"An inner moon, an edge-on, planet-girdling ring, and high altitude cloud bands are visible in this mosaic of infrared images of gas giant Jupiter. The moon Metis, 25 miles wide and about 80,000 miles from the planet, is the bright spot at the upper right. Metis lies within Jupiter's faint, tenuous ring, and may be a source of ring material. Recorded on September 17th by the NICMOS instrument on board the Hubble Space Telescope, these pictures also emphasize atmospheric features high above the main jovian cloud deck. Methane gas in Jupiter's atmosphere absorbs the near infrared light causing deeper clouds to appear dark at these wavelengths. Clouds riding above most of the atmospheric methane are bright. The circular dark spot just above the brightest cloud band is an image artifact."
MyCn18: An Hourglass Nebula,2002-06-15,https://apod.nasa.gov/apod/image/0206/MyCn18_hst.jpg,image,"The sands of time are running out for the central star of this hourglass-shaped planetary nebula. With its nuclear fuel exhausted, this brief, spectacular, closing phase of a Sun-like star's life occurs as its outer layers are ejected - its core becoming a cooling, fading white dwarf. In 1995, astronomers used the Hubble Space Telescope (HST) to make a series of images of planetary nebulae, including the one above.  Here, delicate rings of colorful glowing gas (nitrogen-red, hydrogen-green, and oxygen-blue) outline the tenuous walls of the ""hourglass"". The unprecedented sharpness of the HST images has revealed surprising details of the nebula ejection process and may help resolve the outstanding mystery of the variety of complex shapes and symmetries of planetary nebulae."
Celestial Fireworks: Into Star Cluster Westerlund 2,2017-07-04,https://www.youtube.com/embed/dtY44sPNHcU?rel=0,video,"What if you could go right into a cluster where stars are forming? A one-minute, time-lapse, video visualization of just this has been made with 3D computer modeling of the region surrounding the star cluster Westerlund 2, based on images from the Hubble Space Telescope in visible and infrared light. Westerlund 2 spans about 10 light years across and lies about 20,000 light years distant toward the constellation of the Ship's Keel (Carina). As the illustrative animation begins, the greater Gum 29 nebula fills the screen, with the young cluster of bright stars visible in the center.  Stars zip past you as you approach the cluster. Soon your imaginary ship pivots and you pass over light-year long pillars of interstellar gas and dust.  Strong winds and radiation from massive young stars destroy all but the densest nearby dust clumps, leaving these pillars in their shadows -- many pointing back toward the cluster center. Last, you pass into the top of the star cluster and survey hundreds of the most massive stars known.    Open Science: Browse 1,500+ codes in the Astrophysics Source Code Library"
Mysterious Green Patches on the Sky,2013-09-30,//www.youtube.com/embed/rWAp-RHUAIc?rel=0,video,"What is it? Some surely natural phenomenon has appeared in a video that, so far, has defied clear identification. The above time-lapse video was made to record Perseid meteors above Hopewell Rocks in New Brunswick, Canada late this summer. The video, which ran from 9:30 pm August 11 to 3:00 am the next morning, records several meteor and satellite streaks beyond a picturesque background. Each image records a 30 second exposure. At about 25 seconds into the video, however, an unusual patchy green glow appears to cover the sky.  Possible explanations include airglow, aurora, lighting from an artificial or natural source, or something completely different.  This APOD is an attempt not only to solve this intriguing sky riddle, but to measure how powerful the APOD readership is as a citizen-science, collective-intelligence engine. If you have insight into what might be causing this phenomenon, please contribute to the discussion.    Note: How to follow APOD if the US government shuts down"
A Close Pass of Saturn's Moon Dione,2012-05-21,https://apod.nasa.gov/apod/image/1205/dionerings_cassini_960.jpg,image,"What's that past Dione? When making its closest pass yet of Saturn's moon Dione late last year, the robotic Cassini spacecraft snapped this far-ranging picture featuring Dione, Saturn's rings, and the two small moons Epimetheus and Prometheus. The above image captures part of the heavily cratered snow-white surface of the 1,100 kilometer wide Dione, the thinness of Saturn's rings, and the comparative darkness of the smaller moon Epimetheus.  The image was taken when Cassini was only about 100,000 kilometers from the large icy moon. Future events in Cassini's continuing exploration of Saturn and its moons include tomorrow's flyby of Titan and imaging the distant Earth passing behind Saturn in June.   Gallery: Images of Yesterday's Eclipse"
Moon Pi and Mountain Shadow,2025-03-14,https://apod.nasa.gov/apod/image/2503/MoonriseShadowDLopez_1024.jpg,image,"What phase of the Moon is 3.14 radians from the Sun? The Full Moon, of course. Even though the Moon might look full for several days, the Moon is truly at its full phase when it is Pi radians (aka 180 degrees) from the Sun in ecliptic longitude. That's opposite the Sun in planet Earth's sky. Rising as the Sun set on March 9, 2020, only an hour or so after the moment of its full phase, this orange tinted and slightly flattened Moon still looked full. It was photographed opposite the setting Sun from Teide National Park on the Canary Island of Tenerife. Also opposite the setting Sun, seen from near the Teide volcano peak about 3,500 meters above sea level, is the mountain's rising triangular shadow extending into Earth's dense atmosphere. Below the distant ridge line on the left are the white telescope domes of Teide Observatory. Today, March 14 2025, the moon is Pi radians from the Sun at exactly 06:55 UTC. That's about three minutes before the midpoint of the March Full Moon's total lunar eclipse."
Markarian's Chain,2021-05-22,https://apod.nasa.gov/apod/image/2105/MarkariansChainAnvik1024.jpg,image,"Near the heart of the Virgo Galaxy Cluster the string of galaxies known as Markarian's Chain stretches across this deep telescopic field of view. Anchored in the frame at bottom center by prominent lenticular galaxies, M84 (bottom) and M86, you can follow the chain up and to the right. Near center you'll spot the pair of interacting galaxies NGC 4438 and NGC 4435, known to some as Markarian's Eyes. Its center an estimated 50 million light-years distant, the Virgo Cluster itself is the nearest galaxy cluster. With up to about 2,000 member galaxies, it has a noticeable gravitational influence on our own Local Group of Galaxies. Within the Virgo Cluster at least seven galaxies in Markarian's Chain  appear to move coherently, although others may appear to be part of the chain by chance."
Muon Wobble Possible Door to Supersymmetric Universe,2002-08-06,https://apod.nasa.gov/apod/image/0208/g2_bowman.jpg,image,"How fast do fundamental particles wobble?  A surprising answer to this seemingly inconsequential question is coming out of Brookhaven National Laboratory in New York, USA and may not only indicate that the Standard Model of Particle Physics is incomplete but also that our universe is filled with a previously undetected type of fundamental particle.  Specifically, the muon, a particle with similarities to a heavy electron, has had its relatively large wobble under scrutiny since 1999 in an experiment known as g-2 (gee-minus-two), pictured above.  The result galvanizes other experimental groups around the world to confirm it, and pressures theorists to better understand it.  The rate of wobble is sensitive to a strange sea of virtual particles that pop into and out of existence everywhere.  The unexpected wobble rate may indicate that this sea houses virtual particles that include nearly invisible supersymmetric counterparts to known particles.  If so, a nearly invisible universe of real supersymmetric particles might exist all around us."
Polar Ring Galaxy NGC 660,2009-12-03,https://apod.nasa.gov/apod/image/0912/NGC660Hagar0_c900.jpg,image,"NGC 660 lies near the center of this intriguing field of galaxies swimming within the boundaries of the constellation Pisces. Over 20 million light-years away, its peculiar appearance marks it as a polar ring galaxy. A rare galaxy type, polar ring galaxies have a substantial population of stars, gas, and dust orbiting in rings nearly perpendicular to the plane of a flat galactic disk. The bizarre configuration could have been caused by the chance capture of material from a passing galaxy by the disk galaxy, with the captured debris strung out in a rotating ring. Polar Ring galaxies can be used to explore the shape of the galaxy's otherwise unseen dark matter halo by calculating the dark matter's gravitational influence on the rotation of the ring and disk. Broader than the disk, NGC 660's ring spans about 40,000 light-years."
From California to the Pleiades,2013-11-22,https://apod.nasa.gov/apod/image/1311/2013-11_C2P_950px.jpg,image,"An astronomical trip from the California Nebula to the Pleiades star cluster would cover just over 12 degrees across planet Earth's night sky. That's equivalent to the angular extent of 25 Full Moons, as your telescope sweeps past the borders of the constellations Perseus and Taurus. This wide and deep mosaic image of the region explores the cosmic landscape's dusty nebulae and colors otherwise too faint for your eye to see. On the left, cataloged as NGC 1499, the California Nebula does have a familiar shape, though its coastline is actually over 60 light-years long and lies about 1,500 light-years away. The nebula's pronounced reddish glow is from hydrogen atoms ionized by luminous blue star Xi Persei seen just to its right. At the far right, the famous Pleiades star cluster is some 400 light-years distant and around 15 light-years across. Its spectacular blue color is due to the reflection of starlight by interstellar dust. In between are hot stars of the Perseus OB2 association and dusty, dark nebulae along the edge of the nearby, massive Perseus molecular cloud."
M17: A Hubble Close-Up,2003-04-25,https://apod.nasa.gov/apod/image/0304/m17close_hst_c1.jpg,image,"Sculpted by stellar winds and radiation, these fantastic, undulating shapes lie within the stellar nursery known as M17, the Omega Nebula, some 5,500 light-years away in the nebula-rich constellation Sagittarius. The lumpy features in the dense cold gas and dust are illuminated by stars off the upper left of the image and may themselves represent sites of future star formation. Colors in the fog of surrounding hotter material indicate M17's chemical make up. The predominately green glow corresponds to abundant hydrogen, with trace sulfur and oxygen atoms contributing red and blue hues. The picture spans about 3 light-years and was released to celebrate the thirteenth year of the Hubble Space Telescope's cosmic voyage of exploration."
M82: Galaxy with a Supergalactic Wind,2016-02-21,https://apod.nasa.gov/apod/image/1602/m82_hubble_960.jpg,image,"What's lighting up the Cigar Galaxy?  M82, as this irregular galaxy is also known, was stirred up by a recent pass near large spiral galaxy M81.  This doesn't fully explain the source of the red-glowing outwardly expanding gas, however.  Evidence indicates that this gas is being driven out by the combined emerging particle winds of many stars, together creating a galactic superwind.  The featured photographic mosaic highlights a specific color of red light strongly emitted by ionized hydrogen gas, showing detailed filaments of this gas.  The filaments extend for over 10,000 light years. The 12-million light-year distant Cigar Galaxy is the brightest galaxy in the sky in infrared light, and can be seen in visible light with a small telescope towards the constellation of the Great Bear (Ursa Major)."
Messier Craters in Stereo,2020-12-11,https://apod.nasa.gov/apod/image/2012/MessierCrater3d_vantuyne1024c.jpg,image,"Many bright nebulae and star clusters in planet Earth's sky are associated with the name of astronomer Charles Messier from his famous 18th century catalog. His name is also given to these two large and remarkable craters on the Moon. Standouts in the dark, smooth lunar Sea of Fertility or Mare Fecunditatis, Messier (left) and Messier A have dimensions of 15 by 8 and 16 by 11 kilometers respectively. Their elongated shapes are explained by the extremely shallow-angle trajectory followed by an impactor, moving left to right, that gouged out the craters. The shallow impact also resulted in two bright rays of material extending along the surface to the right, beyond the picture. Intended to be viewed with red/blue glasses (red for the left eye), this striking stereo picture of the crater pair was recently created from high resolution scans of two images (AS11-42-6304, AS11-42-6305) taken during the Apollo 11 mission to the Moon."
Leonids vs. The Moon,2002-11-20,https://apod.nasa.gov/apod/image/0211/leonid2002_sapp1.jpg,image,"Beautiful and bright, the 2002 Leonid meteors battled against glaring moonlight. This winning example, from Tuesday morning skies above Laughlin, Nevada, USA, finds an undaunted Leonid streaking between the familiar constellation of Orion (left) and an overexposed full Moon. As anticipated, the Leonid shower packed a double punch on November 19 with planet Earth plunging through two dense clouds of meteroids, dusty debris left by the passage of comet Tempel-Tuttle. Some European observers reported 10 or so meteors a minute during the first peak near 4:00 Universal Time while North American skygazers witnessed slightly lower rates near the second peak around 10:30 UT. Overall, observed rates were much lower than last year's Leonid meteor storm, but for many the sky was still filled with a rewarding spectacle of bright meteors. And that performance may be a fond farewell for years to come. The annual Leonid meteor shower will not likely approach even these rates again until the end of this century."
Apollo 17 VIP Site Anaglyph,2014-03-15,https://apod.nasa.gov/apod/image/1403/a17anaglyph_vanMeijgaarden_c800.jpg,image,"Get out your red/blue glasses and check out this stereo scene from Taurus-Littrow valley on the Moon! The color anaglyph features a detailed 3D view of Apollo 17's Lunar Rover in the foreground -- behind it lies the Lunar Module and distant lunar hills. Because the world was  going to be able to watch the Lunar Module's ascent stage liftoff via the rover's TV camera, this parking place was also known as the VIP Site. In December of 1972, Apollo 17 astronauts Eugene Cernan and Harrison Schmitt spent about 75 hours on the Moon, while colleague Ronald Evans orbited overhead. The crew returned with 110 kilograms of rock and soil samples, more than from any of the other lunar landing sites. Cernan and Schmitt are still the last to walk (or drive) on the Moon."
New Horizons at Io,2007-04-04,https://apod.nasa.gov/apod/image/0704/io_walkerNH520.jpg,image,"Spewed from a volcano, a complex plume rises over 300 kilometers above the horizon of Jupiter's moon Io in this image from cameras onboard the New Horizons spacecraft. The volcano, Tvashtar, is marked by the bright glow (about 1 o'clock) at the moon's edge, beyond the terminator or night/day shadow line. The shadow of Io cuts across the plume itself. Also capturing stunning details on the dayside surface, the high resolution image was recorded when the spacecraft was 2.3 million kilometers from Io. Later it was combined with lower resolution color data by astro-imager Sean Walker to produce this sharp portrait of the solar system's most active moon. Outward bound at almost 23 kilometers per second, the New Horizons spacecraft should cross the orbit of Saturn in June next year, and is ultimately destined to encounter Pluto in 2015."
