app,date,verified_purchase,rating,category,helpful_votes,review
Lookback,2024-09-30,true,5,user research,20,The onboarding checklist is paced well — not overwhelming. Recording quality is excellent even on slow connections.
Fieldkit,2024-02-17,true,5,field research,44,The guest access feature is perfect for external stakeholders. GPS tagging for field observations is exactly what I needed.
Dovetail,2024-01-24,false,3,research repository,43,"Strong on data collection, weaker on synthesis."
Dovetail,2023-01-01,true,5,research repository,19,Real-time co-editing on affinity diagrams is surprisingly smooth.
Miro,2024-03-28,true,5,collaborative whiteboard,43,GPS tagging for field observations is exactly what I needed.
Miro,2023-10-18,true,5,collaborative whiteboard,32,Custom fields on participants let me filter by screener criteria.
Lookback,2023-08-19,true,4,user research,12,Custom fields on participants let me filter by screener criteria.
Fieldkit,2024-09-17,true,3,field research,4,Good enough for most projects but I always end up exporting to a spreadsheet anyway.
Lookback,2024-01-29,true,3,user research,31,Setup was smooth; ongoing use has revealed some rough edges.
Dovetail,2023-08-13,false,5,research repository,11,The session recording is crisp and easy to scrub through.
Lookback,2023-05-05,true,4,user research,29,The mobile app doesn't crash when I switch between apps mid-session.
Miro,2024-05-31,false,5,collaborative whiteboard,27,The voice memo feature captures context I'd otherwise lose. One-click export to Notion is a feature I use every week.
Lookback,2023-09-11,true,4,user research,40,Tag hierarchies let me keep themes organized across a whole study.
Lookback,2023-10-20,true,4,user research,15,Bulk-tagging across sessions is a huge time saver.
Maze,2023-08-08,true,5,usability testing,4,Being able to rewatch sessions at 1.5x speed has saved me hours. The mobile app doesn't crash when I switch between apps mid-session.
Maze,2024-08-21,true,4,usability testing,44,CSV export includes everything I need for further analysis. Battery drain is reasonable even during long observation sessions.
Lookback,2024-07-05,false,4,user research,47,Recording quality is excellent even on slow connections. Battery drain is reasonable even during long observation sessions.
Lookback,2024-02-03,true,5,user research,21,The highlight reel feature is genuinely useful for presentations. Works offline and syncs when I get back to WiFi — essential for fieldwork.
Miro,2024-09-29,true,5,collaborative whiteboard,34,Smart folders auto-populate based on tags — surprisingly powerful.
Miro,2024-04-17,true,5,collaborative whiteboard,11,I was running my first study within 20 minutes of signing up. The highlight reel feature is genuinely useful for presentations.
Miro,2024-03-07,false,4,collaborative whiteboard,16,PDF reports look professional enough to share with executives. GPS tagging for field observations is exactly what I needed.
Fieldkit,2024-09-28,true,5,field research,9,I can tag clips without leaving the playback view.
Miro,2023-09-20,true,5,collaborative whiteboard,23,The mobile app doesn't crash when I switch between apps mid-session.
Lookback,2023-06-17,true,5,user research,19,I was running my first study within 20 minutes of signing up.
Fieldkit,2023-03-19,true,5,field research,37,Battery drain is reasonable even during long observation sessions. Custom fields on participants let me filter by screener criteria.
Miro,2023-01-13,false,5,collaborative whiteboard,26,Session recordings sync instantly — no waiting around.
Fieldkit,2024-03-21,false,4,field research,11,Real-time co-editing on affinity diagrams is surprisingly smooth.
Maze,2024-08-29,true,5,usability testing,17,Battery drain is reasonable even during long observation sessions.
Dovetail,2023-09-07,true,5,research repository,29,Recording quality is excellent even on slow connections.
Miro,2023-09-22,true,4,collaborative whiteboard,21,PDF reports look professional enough to share with executives. Bulk-tagging across sessions is a huge time saver.
Lookback,2023-09-05,true,5,user research,46,The guest access feature is perfect for external stakeholders. The tagging workflow is intuitive once you get used to it.
Lookback,2024-05-17,false,5,user research,28,Screener templates saved me from writing survey questions from scratch.
Fieldkit,2024-04-29,true,4,field research,35,The highlight reel feature is genuinely useful for presentations. Template library covers most of my research formats out of the box.
Miro,2023-11-10,true,5,collaborative whiteboard,16,GPS tagging for field observations is exactly what I needed. PDF reports look professional enough to share with executives.
Dovetail,2023-07-09,true,4,research repository,12,The help docs are actually written by people who do research.
Miro,2023-04-13,true,4,collaborative whiteboard,12,The voice memo feature captures context I'd otherwise lose.
Maze,2024-06-30,true,3,usability testing,8,"Does what it says, though the interface feels dated."
Fieldkit,2024-05-17,false,4,field research,6,The onboarding checklist is paced well — not overwhelming.
Lookback,2024-05-04,false,4,user research,7,Video clips export cleanly with timecodes intact. Recording quality is excellent even on slow connections.
Miro,2023-03-29,true,4,collaborative whiteboard,15,Works offline and syncs when I get back to WiFi — essential for fieldwork. Template library covers most of my research formats out of the box.
Miro,2024-04-06,true,5,collaborative whiteboard,28,Being able to link observations to specific interview questions is great. Battery drain is reasonable even during long observation sessions.
Lookback,2024-09-16,true,5,user research,47,The guest access feature is perfect for external stakeholders.
Dovetail,2023-03-18,true,5,research repository,10,My whole team can comment on the same session without chaos. Searching by tag across projects actually works reliably.
Miro,2024-04-09,true,5,collaborative whiteboard,4,PDF reports look professional enough to share with executives. Permissions are granular enough that clients can view but not edit.
Maze,2023-07-22,true,5,usability testing,27,The help docs are actually written by people who do research.
Dovetail,2024-09-01,false,5,research repository,47,Sharing clips with stakeholders takes about 30 seconds. Bulk-tagging across sessions is a huge time saver.
Maze,2023-10-06,true,4,usability testing,32,PDF reports look professional enough to share with executives.
Dovetail,2023-01-22,false,5,research repository,43,Being able to link observations to specific interview questions is great.
Lookback,2024-04-26,true,4,user research,22,Smart folders auto-populate based on tags — surprisingly powerful.
Maze,2023-10-23,false,5,usability testing,42,Custom fields on participants let me filter by screener criteria. Screener templates saved me from writing survey questions from scratch.
Lookback,2024-09-29,true,4,user research,31,Being able to rewatch sessions at 1.5x speed has saved me hours.
Fieldkit,2023-05-15,true,3,field research,18,Reasonable feature set — the UX of the tool itself could use some research.
Maze,2024-04-28,true,4,usability testing,15,Real-time co-editing on affinity diagrams is surprisingly smooth.
Dovetail,2023-05-20,true,4,research repository,4,The voice memo feature captures context I'd otherwise lose.
Miro,2023-11-02,true,4,collaborative whiteboard,37,Being able to link observations to specific interview questions is great. Recording quality is excellent even on slow connections.
Miro,2023-12-07,false,5,collaborative whiteboard,35,One-click export to Notion is a feature I use every week.
Miro,2023-09-02,true,4,collaborative whiteboard,36,Sharing clips with stakeholders takes about 30 seconds.
Miro,2023-12-06,false,5,collaborative whiteboard,6,Searching by tag across projects actually works reliably.
Fieldkit,2024-02-12,true,4,field research,41,Permissions are granular enough that clients can view but not edit.
Maze,2024-07-08,true,5,usability testing,2,Being able to link observations to specific interview questions is great. Real-time co-editing on affinity diagrams is surprisingly smooth.
Dovetail,2024-03-20,false,5,research repository,6,Sharing clips with stakeholders takes about 30 seconds.
Fieldkit,2023-02-17,false,4,field research,20,Template library covers most of my research formats out of the box.
Maze,2024-11-29,true,4,usability testing,11,The highlight reel feature is genuinely useful for presentations. The voice memo feature captures context I'd otherwise lose.
Fieldkit,2024-05-24,true,5,field research,37,One-click export to Notion is a feature I use every week.
Miro,2024-04-21,true,5,collaborative whiteboard,18,PDF reports look professional enough to share with executives.
Miro,2023-10-30,true,5,collaborative whiteboard,44,Being able to rewatch sessions at 1.5x speed has saved me hours. One-click export to Notion is a feature I use every week.
Miro,2024-05-23,false,4,collaborative whiteboard,18,Works offline and syncs when I get back to WiFi — essential for fieldwork.
Dovetail,2024-09-27,true,5,research repository,16,Sharing clips with stakeholders takes about 30 seconds.
Dovetail,2024-08-16,false,5,research repository,23,I was running my first study within 20 minutes of signing up. CSV export includes everything I need for further analysis.
Fieldkit,2024-01-10,true,5,field research,33,Real-time co-editing on affinity diagrams is surprisingly smooth. Searching by tag across projects actually works reliably.
Maze,2023-10-30,false,5,usability testing,47,Real-time co-editing on affinity diagrams is surprisingly smooth.
Fieldkit,2023-08-20,false,4,field research,43,Being able to rewatch sessions at 1.5x speed has saved me hours.
Miro,2023-09-28,true,5,collaborative whiteboard,34,Being able to link observations to specific interview questions is great. CSV export includes everything I need for further analysis.
Maze,2024-10-15,true,5,usability testing,23,Template library covers most of my research formats out of the box.
Dovetail,2024-10-25,true,4,research repository,4,The voice memo feature captures context I'd otherwise lose. The onboarding checklist is paced well — not overwhelming.
Miro,2023-11-08,true,5,collaborative whiteboard,31,Real-time co-editing on affinity diagrams is surprisingly smooth. The session recording is crisp and easy to scrub through.
Dovetail,2024-11-17,true,5,research repository,47,Tag hierarchies let me keep themes organized across a whole study.
Lookback,2024-11-01,false,4,user research,6,The onboarding checklist is paced well — not overwhelming.
Lookback,2023-08-11,true,4,user research,28,My whole team can comment on the same session without chaos.
Dovetail,2024-10-22,true,5,research repository,22,Recording quality is excellent even on slow connections.
Maze,2024-04-10,true,3,usability testing,5,Good for solo researchers but team features need more polish.
Lookback,2023-07-30,false,5,user research,4,Recording quality is excellent even on slow connections. The guest access feature is perfect for external stakeholders.
Lookback,2023-08-27,false,3,user research,21,"Works fine — nothing remarkable, nothing broken."
Dovetail,2024-05-02,false,5,research repository,28,Works offline and syncs when I get back to WiFi — essential for fieldwork.
Lookback,2024-11-05,true,5,user research,33,One-click export to Notion is a feature I use every week. I was running my first study within 20 minutes of signing up.
Lookback,2024-06-27,true,4,user research,18,Real-time co-editing on affinity diagrams is surprisingly smooth.
Lookback,2024-10-28,false,4,user research,35,Project folders keep multi-phase studies manageable.
Dovetail,2024-03-01,true,4,research repository,46,Tag hierarchies let me keep themes organized across a whole study. Battery drain is reasonable even during long observation sessions.
Miro,2024-04-30,true,4,collaborative whiteboard,4,Permissions are granular enough that clients can view but not edit.
Lookback,2024-11-12,false,4,user research,27,I was running my first study within 20 minutes of signing up.
Fieldkit,2023-08-06,true,5,field research,9,GPS tagging for field observations is exactly what I needed. The help docs are actually written by people who do research.
Dovetail,2023-08-20,false,5,research repository,27,The guest access feature is perfect for external stakeholders. One-click export to Notion is a feature I use every week.
Lookback,2023-01-30,true,5,user research,11,The help docs are actually written by people who do research. The timeline view across a research program is genuinely useful.
Maze,2024-11-04,true,5,usability testing,25,My whole team can comment on the same session without chaos. Searching by tag across projects actually works reliably.
Maze,2023-02-23,true,5,usability testing,9,Being able to link observations to specific interview questions is great.
Miro,2023-10-18,true,4,collaborative whiteboard,43,Being able to link observations to specific interview questions is great. CSV export includes everything I need for further analysis.
Miro,2023-01-08,true,4,collaborative whiteboard,13,My whole team can comment on the same session without chaos. I was running my first study within 20 minutes of signing up.
Dovetail,2024-05-24,true,5,research repository,47,The timeline view across a research program is genuinely useful. The session recording is crisp and easy to scrub through.
Dovetail,2024-11-15,true,4,research repository,22,The onboarding checklist is paced well — not overwhelming.
Fieldkit,2024-08-12,true,4,field research,27,CSV export includes everything I need for further analysis.
Miro,2023-06-25,true,4,collaborative whiteboard,39,CSV export includes everything I need for further analysis.
Maze,2023-03-20,true,5,usability testing,32,Bulk-tagging across sessions is a huge time saver.
Lookback,2023-08-30,true,4,user research,6,The timeline view across a research program is genuinely useful. The onboarding checklist is paced well — not overwhelming.
Dovetail,2024-11-02,true,3,research repository,4,Solid core product with rough edges in the advanced workflows.
Miro,2024-08-01,true,4,collaborative whiteboard,41,The voice memo feature captures context I'd otherwise lose.
Lookback,2024-03-28,true,4,user research,40,Template library covers most of my research formats out of the box. Automatic session indexing makes it easy to find key moments.
Maze,2023-02-08,true,5,usability testing,3,The guest access feature is perfect for external stakeholders. Battery drain is reasonable even during long observation sessions.
Fieldkit,2023-11-26,true,4,field research,38,Being able to link observations to specific interview questions is great.
Dovetail,2023-12-18,true,5,research repository,45,CSV export includes everything I need for further analysis.
Maze,2023-02-23,true,4,usability testing,40,The timeline view across a research program is genuinely useful.
Fieldkit,2023-06-03,true,4,field research,21,Battery drain is reasonable even during long observation sessions. Being able to link observations to specific interview questions is great.
Dovetail,2023-11-14,true,5,research repository,35,Real-time co-editing on affinity diagrams is surprisingly smooth. Project folders keep multi-phase studies manageable.
Maze,2024-06-04,true,5,usability testing,23,The help docs are actually written by people who do research. Smart folders auto-populate based on tags — surprisingly powerful.
Maze,2023-12-16,true,3,usability testing,31,"Works fine — nothing remarkable, nothing broken."
Dovetail,2023-04-14,false,3,research repository,32,"Decent tool for the price, though the competition is catching up."
Lookback,2024-03-30,true,5,user research,39,Tag hierarchies let me keep themes organized across a whole study. The highlight reel feature is genuinely useful for presentations.
Miro,2023-11-13,false,3,collaborative whiteboard,30,"Works fine — nothing remarkable, nothing broken."
Dovetail,2023-10-16,true,4,research repository,24,Battery drain is reasonable even during long observation sessions.
Miro,2023-05-22,true,5,collaborative whiteboard,16,Custom fields on participants let me filter by screener criteria.
Miro,2024-06-12,true,5,collaborative whiteboard,7,Works offline and syncs when I get back to WiFi — essential for fieldwork.
Dovetail,2023-04-04,false,4,research repository,14,The mobile app doesn't crash when I switch between apps mid-session.
Maze,2024-01-31,true,5,usability testing,5,CSV export includes everything I need for further analysis. Sharing clips with stakeholders takes about 30 seconds.
Fieldkit,2023-05-21,true,4,field research,2,Recording quality is excellent even on slow connections.
Miro,2023-01-06,true,5,collaborative whiteboard,5,Tag hierarchies let me keep themes organized across a whole study.
Dovetail,2023-04-24,true,5,research repository,18,The voice memo feature captures context I'd otherwise lose.
Fieldkit,2023-10-26,true,5,field research,27,The mobile app doesn't crash when I switch between apps mid-session.
Maze,2023-07-11,true,3,usability testing,42,The fundamentals are strong; the extras feel half-finished.
Lookback,2024-06-03,true,5,user research,35,Session recordings sync instantly — no waiting around.
Fieldkit,2023-12-13,true,5,field research,41,Template library covers most of my research formats out of the box. The guest access feature is perfect for external stakeholders.
Miro,2023-03-06,false,5,collaborative whiteboard,45,The highlight reel feature is genuinely useful for presentations.
Lookback,2023-02-07,true,4,user research,41,Being able to link observations to specific interview questions is great.
Maze,2024-02-14,true,5,usability testing,47,Recording quality is excellent even on slow connections. Video clips export cleanly with timecodes intact.
Miro,2024-01-12,true,4,collaborative whiteboard,33,Tag hierarchies let me keep themes organized across a whole study.
Fieldkit,2023-07-04,true,5,field research,34,Automatic session indexing makes it easy to find key moments.
Maze,2024-03-21,true,4,usability testing,17,Template library covers most of my research formats out of the box.
Dovetail,2024-10-22,true,5,research repository,23,Screener templates saved me from writing survey questions from scratch. Being able to rewatch sessions at 1.5x speed has saved me hours.
Miro,2023-08-08,true,4,collaborative whiteboard,39,Works offline and syncs when I get back to WiFi — essential for fieldwork. Real-time co-editing on affinity diagrams is surprisingly smooth.
Miro,2023-03-17,true,3,collaborative whiteboard,28,Solid core product with rough edges in the advanced workflows.
Miro,2023-03-08,true,5,collaborative whiteboard,35,The timeline view across a research program is genuinely useful.
Maze,2024-06-04,true,5,usability testing,14,The onboarding checklist is paced well — not overwhelming.
Dovetail,2024-01-13,false,5,research repository,29,Tag hierarchies let me keep themes organized across a whole study. The help docs are actually written by people who do research.
Lookback,2023-02-26,true,5,user research,7,I can tag clips without leaving the playback view.
Maze,2023-08-19,false,3,usability testing,22,I've used it for two years. It's reliable but not exciting.
Lookback,2023-10-09,true,5,user research,8,Project folders keep multi-phase studies manageable. The help docs are actually written by people who do research.
Lookback,2024-08-17,true,4,user research,9,The mobile app doesn't crash when I switch between apps mid-session.
Lookback,2024-07-31,false,5,user research,2,GPS tagging for field observations is exactly what I needed.
Fieldkit,2023-09-08,true,4,field research,43,The help docs are actually written by people who do research. Real-time co-editing on affinity diagrams is surprisingly smooth.
Fieldkit,2023-04-10,true,4,field research,3,CSV export includes everything I need for further analysis. I can tag clips without leaving the playback view.
Miro,2023-06-13,false,5,collaborative whiteboard,20,The highlight reel feature is genuinely useful for presentations.
Maze,2024-05-25,true,3,usability testing,32,Solid core product with rough edges in the advanced workflows.
Maze,2023-09-04,true,4,usability testing,13,Automatic session indexing makes it easy to find key moments.
Fieldkit,2023-03-17,true,5,field research,24,Bulk-tagging across sessions is a huge time saver.
Lookback,2024-01-18,true,4,user research,21,The voice memo feature captures context I'd otherwise lose. Automatic session indexing makes it easy to find key moments.
Maze,2024-05-27,true,5,usability testing,2,Searching by tag across projects actually works reliably.
Dovetail,2023-06-02,false,5,research repository,38,Smart folders auto-populate based on tags — surprisingly powerful.
Dovetail,2024-08-30,true,4,research repository,21,GPS tagging for field observations is exactly what I needed. Template library covers most of my research formats out of the box.
Lookback,2023-12-06,true,4,user research,43,The help docs are actually written by people who do research. Recording quality is excellent even on slow connections.
Miro,2023-09-29,false,5,collaborative whiteboard,41,Project folders keep multi-phase studies manageable.
Lookback,2023-06-24,true,5,user research,33,I was running my first study within 20 minutes of signing up.
Lookback,2023-09-06,true,5,user research,2,The highlight reel feature is genuinely useful for presentations.
Fieldkit,2023-11-18,true,3,field research,26,Good enough for most projects but I always end up exporting to a spreadsheet anyway.
Dovetail,2023-03-05,true,4,research repository,45,Being able to link observations to specific interview questions is great.
Dovetail,2023-11-18,true,4,research repository,11,Screener templates saved me from writing survey questions from scratch.
Lookback,2023-07-16,true,4,user research,15,Permissions are granular enough that clients can view but not edit.
Maze,2023-10-23,true,3,usability testing,45,"Decent tool for the price, though the competition is catching up."
Miro,2023-10-08,true,4,collaborative whiteboard,18,The guest access feature is perfect for external stakeholders.
Lookback,2023-05-30,true,4,user research,18,PDF reports look professional enough to share with executives.
Fieldkit,2023-08-08,false,4,field research,12,PDF reports look professional enough to share with executives.
Maze,2023-09-03,true,5,usability testing,15,Template library covers most of my research formats out of the box. The voice memo feature captures context I'd otherwise lose.
Lookback,2023-02-23,true,3,user research,6,"Works fine — nothing remarkable, nothing broken."
Miro,2023-04-02,true,4,collaborative whiteboard,41,Bulk-tagging across sessions is a huge time saver. Project folders keep multi-phase studies manageable.
Lookback,2023-06-29,false,5,user research,26,Project folders keep multi-phase studies manageable.
Dovetail,2023-07-10,false,5,research repository,47,Automatic session indexing makes it easy to find key moments.
Maze,2023-04-20,true,5,usability testing,21,Recording quality is excellent even on slow connections.
Lookback,2023-07-17,true,4,user research,7,Searching by tag across projects actually works reliably.
Miro,2024-08-04,false,5,collaborative whiteboard,43,The onboarding checklist is paced well — not overwhelming. Permissions are granular enough that clients can view but not edit.
Dovetail,2024-06-11,true,5,research repository,20,Screener templates saved me from writing survey questions from scratch.
Fieldkit,2024-05-03,false,3,field research,20,Solid core product with rough edges in the advanced workflows.
Fieldkit,2024-04-02,false,3,field research,17,"Works fine — nothing remarkable, nothing broken."
Maze,2023-03-05,true,5,usability testing,42,Works offline and syncs when I get back to WiFi — essential for fieldwork. Sharing clips with stakeholders takes about 30 seconds.
Maze,2024-05-29,false,3,usability testing,45,"Strong on data collection, weaker on synthesis."
Fieldkit,2023-08-13,true,5,field research,8,Permissions are granular enough that clients can view but not edit.
Miro,2024-07-16,false,5,collaborative whiteboard,30,GPS tagging for field observations is exactly what I needed.
Dovetail,2023-03-25,true,5,research repository,33,The help docs are actually written by people who do research.
Lookback,2024-05-15,false,4,user research,5,The onboarding checklist is paced well — not overwhelming.
Miro,2024-04-12,true,5,collaborative whiteboard,36,The highlight reel feature is genuinely useful for presentations.
Miro,2024-08-15,true,5,collaborative whiteboard,4,My whole team can comment on the same session without chaos. Being able to rewatch sessions at 1.5x speed has saved me hours.
Maze,2023-03-12,true,5,usability testing,30,Works offline and syncs when I get back to WiFi — essential for fieldwork.
Miro,2024-10-18,true,3,collaborative whiteboard,46,Solid core product with rough edges in the advanced workflows.
Miro,2024-01-22,true,4,collaborative whiteboard,24,Video clips export cleanly with timecodes intact.
Fieldkit,2024-07-11,true,5,field research,27,Real-time co-editing on affinity diagrams is surprisingly smooth.
Dovetail,2023-06-08,true,3,research repository,17,I've used it for two years. It's reliable but not exciting.
Fieldkit,2023-02-19,false,5,field research,15,One-click export to Notion is a feature I use every week.
Miro,2023-02-27,true,4,collaborative whiteboard,8,The mobile app doesn't crash when I switch between apps mid-session.
Maze,2024-08-12,true,3,usability testing,20,Setup was smooth; ongoing use has revealed some rough edges.
Maze,2024-11-07,true,3,usability testing,33,Solid core product with rough edges in the advanced workflows.
Maze,2023-06-29,true,4,usability testing,40,The voice memo feature captures context I'd otherwise lose.
Lookback,2023-11-23,true,4,user research,44,Real-time co-editing on affinity diagrams is surprisingly smooth.
Dovetail,2023-08-19,false,4,research repository,19,Searching by tag across projects actually works reliably.
Dovetail,2024-03-02,true,5,research repository,35,Session recordings sync instantly — no waiting around.
Miro,2023-12-05,true,3,collaborative whiteboard,41,"Works fine — nothing remarkable, nothing broken."
Miro,2023-07-15,true,5,collaborative whiteboard,3,Session recordings sync instantly — no waiting around.
Lookback,2023-08-11,true,5,user research,30,Project folders keep multi-phase studies manageable. The voice memo feature captures context I'd otherwise lose.
Maze,2023-05-01,false,4,usability testing,47,Being able to rewatch sessions at 1.5x speed has saved me hours.
Miro,2024-02-11,true,5,collaborative whiteboard,15,The help docs are actually written by people who do research.
Maze,2024-05-24,true,4,usability testing,29,GPS tagging for field observations is exactly what I needed. The guest access feature is perfect for external stakeholders.
Miro,2024-07-30,false,5,collaborative whiteboard,14,Sharing clips with stakeholders takes about 30 seconds. Works offline and syncs when I get back to WiFi — essential for fieldwork.
Fieldkit,2024-08-16,true,3,field research,46,"Gets the job done, but the workflow has too many clicks for routine tasks."
Dovetail,2024-01-24,false,3,research repository,36,"Works fine — nothing remarkable, nothing broken."
Miro,2024-04-16,false,4,collaborative whiteboard,10,Template library covers most of my research formats out of the box. Video clips export cleanly with timecodes intact.
Maze,2024-07-13,true,3,usability testing,31,Setup was smooth; ongoing use has revealed some rough edges.
Lookback,2023-01-07,true,5,user research,26,Session recordings sync instantly — no waiting around. The tagging workflow is intuitive once you get used to it.
Lookback,2024-02-26,true,5,user research,0,Screener templates saved me from writing survey questions from scratch. The voice memo feature captures context I'd otherwise lose.
Maze,2024-11-21,false,4,usability testing,27,My whole team can comment on the same session without chaos.
Maze,2024-04-15,true,5,usability testing,36,Recording quality is excellent even on slow connections.
Dovetail,2024-10-27,true,4,research repository,2,Project folders keep multi-phase studies manageable.
Miro,2023-06-25,true,4,collaborative whiteboard,5,CSV export includes everything I need for further analysis.
Miro,2023-04-08,false,5,collaborative whiteboard,33,The guest access feature is perfect for external stakeholders.
Dovetail,2024-08-03,true,3,research repository,30,Setup was smooth; ongoing use has revealed some rough edges.
Fieldkit,2023-02-03,false,5,field research,11,The guest access feature is perfect for external stakeholders.
Lookback,2023-03-22,false,5,user research,32,One-click export to Notion is a feature I use every week. Custom fields on participants let me filter by screener criteria.
Lookback,2024-05-17,true,4,user research,14,The timeline view across a research program is genuinely useful. Real-time co-editing on affinity diagrams is surprisingly smooth.
Miro,2023-03-29,true,4,collaborative whiteboard,39,The help docs are actually written by people who do research.
Dovetail,2024-02-03,true,5,research repository,20,Recording quality is excellent even on slow connections. Custom fields on participants let me filter by screener criteria.
Dovetail,2023-04-16,true,4,research repository,1,The voice memo feature captures context I'd otherwise lose.
Fieldkit,2023-06-23,true,5,field research,43,The mobile app doesn't crash when I switch between apps mid-session.
Dovetail,2024-05-19,true,3,research repository,9,"Decent tool for the price, though the competition is catching up."
Miro,2024-01-05,false,4,collaborative whiteboard,16,Real-time co-editing on affinity diagrams is surprisingly smooth.
Miro,2024-02-10,false,5,collaborative whiteboard,21,Tag hierarchies let me keep themes organized across a whole study. CSV export includes everything I need for further analysis.
Miro,2023-05-20,true,5,collaborative whiteboard,19,Real-time co-editing on affinity diagrams is surprisingly smooth. Being able to link observations to specific interview questions is great.
Dovetail,2023-10-26,true,4,research repository,47,Tag hierarchies let me keep themes organized across a whole study.
Miro,2024-01-09,false,5,collaborative whiteboard,7,Custom fields on participants let me filter by screener criteria. Real-time co-editing on affinity diagrams is surprisingly smooth.
Dovetail,2024-07-17,false,5,research repository,1,The mobile app doesn't crash when I switch between apps mid-session.
